keyword,freq_2018
food,582
data,244
risk,228
plant,211
quality,210
drying,209
health,208
control,205
higher,200
total,185
foods,185
increased,170
products,165
acid,161
potential,159
species,152
children,147
intake,140
properties,139
assessment,139
production,137
processing,134
soil,131
vegetables,130
water,130
treatment,130
diet,127
increase,127
plants,125
efsa,123
development,122
storage,119
fresh,118
protein,118
industry,115
fruit,114
compounds,110
chemical,109
consumption,109
dietary,109
identified,108
juice,106
observed,103
addition,102
application,99
applications,99
values,96
nutritional,96
weight,95
consumer,94
practical,94
active,92
regulation,92
residues,91
temperature,91
antioxidant,89
product,87
oil,86
evidence,85
vegetable,84
crops,84
support,83
management,83
life,83
capacity,83
parameters,83
reduced,81
investigated,80
work,79
genes,79
energy,78
effective,77
characteristics,76
fruits,76
cell,75
natural,75
concentrations,74
cells,74
day,74
improve,73
frozen,73
knowledge,72
concentration,72
mrl,72
residue,71
social,70
change,70
european,70
evaluated,69
root,69
carrot,68
dried,68
extraction,66
test,66
society,65
days,64
host,64
carotene,63
decreased,63
body,63
consumers,62
revealed,62
short,62
developed,62
type,61
determine,61
conducted,61
composition,61
produce,61
highest,61
flour,61
practices,61
year,60
healthy,60
roots,60
order,60
vitamin,59
thermal,58
national,57
age,57
treatments,57
crop,57
rich,57
sensory,57
safety,56
organic,56
regulatory,56
good,56
provided,55
framework,55
highly,55
proteins,55
submitted,55
derived,55
assessed,55
policy,55
loss,55
gene,55
function,54
rate,54
power,54
cancer,54
environmental,54
eating,54
phenolic,53
texture,53
mass,53
exposure,52
evaluation,52
treated,52
improved,52
leaves,52
included,52
disease,52
agricultural,52
functional,52
measured,52
presented,51
waste,51
analyzed,51
packaging,51
acids,50
physical,50
air,50
context,50
reduce,50
future,50
bioactive,50
substance,49
interactions,49
surface,49
feeding,49
ultrasound,49
shelf,49
models,49
source,48
fat,48
care,48
performed,48
enzymes,48
pesticide,48
evaluate,48
ability,48
clinical,48
techniques,48
scale,48
types,48
cut,47
yeast,47
yield,47
early,47
individual,47
presence,47
nutrient,47
identify,46
mechanisms,46
multiple,46
molecular,46
individuals,46
technology,45
processed,45
stability,44
carrots,44
objective,44
extracts,44
population,44
intervention,44
nutrition,43
local,43
basis,43
moisture,43
potato,43
combination,43
demonstrated,43
reduction,43
science,43
vitro,43
bmi,43
sweet,43
carotenoids,43
strains,42
contents,42
increases,42
daily,42
form,42
proposed,42
average,42
cost,42
corn,42
free,42
fungal,42
structure,42
carbon,42
market,41
responses,41
practice,41
density,41
isolated,41
request,41
sample,41
commission,41
negative,41
native,41
sources,40
positive,40
affect,40
design,40
materials,40
size,40
carried,40
consumed,40
isolates,40
isbn,40
complex,40
benefits,40
components,40
starch,40
microwave,39
community,39
established,39
infection,39
perceived,39
family,39
juices,39
traditional,39
public,38
consideration,38
detected,38
technique,38
report,38
studied,38
red,38
strong,38
tomatoes,38
women,38
lead,37
oral,37
rice,37
diets,37
competent,37
fungi,37
fiber,37
authority,37
powder,37
relevant,37
wild,37
analytical,36
primary,36
sufficient,36
pressure,36
cooking,36
overweight,36
proposals,36
tissue,36
seed,36
distribution,36
secondary,36
contribute,36
iron,35
united,35
preference,35
involved,35
soluble,34
alternative,34
prepared,34
liquid,34
enzyme,34
fodmap,34
items,34
extract,34
green,34
mrls,34
relative,34
cases,33
breeding,33
degradation,33
populations,33
chain,33
language,33
resources,33
aimed,33
scientific,33
technologies,33
developing,33
variation,33
microbial,33
comparison,33
needed,33
validated,32
dough,32
solid,32
assessments,32
develop,32
amounts,32
experimental,32
concluded,32
action,32
variables,32
challenges,32
adults,32
hardness,32
supported,32
nutrients,32
selected,32
fatty,32
commodities,32
reducing,32
controlled,31
chloride,31
efficiency,31
combined,31
egg,31
lipid,31
decrease,31
demand,31
growing,31
sustainable,31
bread,31
absorption,31
times,31
assisted,30
enforcement,30
pathways,30
pectin,30
industrial,30
university,30
significance,30
suitable,30
phase,30
males,30
collected,30
members,30
commercial,30
release,30
point,30
slices,30
frequency,30
access,30
symptoms,30
received,30
plasma,29
target,29
cross,29
network,29
controls,29
component,29
spp,29
diseases,29
critical,29
material,29
applicant,29
party,29
delivery,29
students,29
ingredients,29
promising,29
occurred,29
additional,29
dependent,29
approaches,29
recommended,29
patterns,29
learning,29
agent,29
detection,28
animals,28
skin,28
environment,28
database,28
survival,28
diversity,28
caused,28
sugar,28
global,28
stable,28
acceptable,28
open,28
expressed,28
agriculture,28
ha,28
education,27
panel,27
onion,27
bacteria,27
genetic,27
apple,27
economic,27
weeks,27
leaf,27
hybrid,27
recorded,27
principal,27
edible,27
females,27
furocoumarin,27
efficient,27
communities,27
single,27
suggesting,27
optimal,27
monitoring,27
limit,27
trials,27
cultivars,27
generated,27
raw,27
contamination,27
allergy,27
history,27
understand,27
initial,27
confirmed,27
international,27
great,26
digestion,26
essential,26
freezing,26
wide,26
polyphenols,26
reached,26
factor,26
nitrogen,26
interaction,26
salmonella,26
mechanism,26
functions,26
land,26
phytophthora,26
metabolic,26
direct,26
antimicrobial,26
physicochemical,26
europe,26
perception,26
pest,26
fertilizer,26
accumulation,26
estimated,26
modify,26
seeds,26
published,26
china,26
young,26
infrared,25
rates,25
sites,25
pattern,25
resistance,25
variety,25
phenolics,25
goal,25
dry,25
led,25
integration,25
transfer,25
