keyword,freq_2019
the,15795
and,14219
of,13702
to,7471
in,7249
a,4643
for,3552
with,2982
The,2797
is,2526
that,2468
were,2353
on,2311
was,2305
as,2114
by,1965
are,1637
from,1444
be,1287
food,1153
this,1119
at,1074
an,1068
study,976
or,879
In,857
This,833
their,761
which,756
not,752
can,751
have,704
drying,686
has,596
between,588
using,587
C,572
results,566
used,564
s,562
different,560
A,541
quality,541
also,536
than,536
high,532
we,521
these,515
data,514
more,511
content,495
g,494
properties,492
but,487
species,485
risk,476
plant,473
products,472
its,460
We,454
been,454
such,447
time,432
P,430
it,424
showed,420
control,412
during,409
total,403
health,403
other,401
two,397
higher,394
use,392
based,391
both,386
may,385
compared,383
effect,382
effects,378
samples,372
treatment,369
most,364
potential,364
foods,362
well,361
all,355
found,344
acid,341
present,336
significantly,336
could,334
increased,333
research,330
analysis,326
including,325
applications,324
process,324
processing,321
into,317
conditions,316
plants,315
methods,312
levels,310
activity,310
associated,309
compounds,308
water,306
after,303
L,303
antioxidant,301
studies,300
had,298
review,298
development,297
important,296
However,295
children,292
production,292
three,291
how,286
low,285
assessment,281
significant,279
through,279
temperature,277
identified,271
level,270
model,269
some,269
dietary,266
under,265
method,264
they,263
respectively,261
Practical,261
product,261
p,259
new,258
mg,257
one,250
when,250
fruit,249
energy,247
diet,247
while,244
sensory,244
related,244
increase,238
observed,238
vegetables,238
color,236
growth,235
among,234
storage,233
addition,232
consumer,231
only,230
natural,230
values,229
consumption,227
dried,227
EFSA,226
information,226
reported,225
These,224
no,224
juice,220
value,218
intake,216
better,214
application,212
lower,210
factors,210
available,209
life,208
first,207
soil,206
N,204
effective,203
reduced,200
group,200
specific,200
Results,199
kg,197
exposure,197
characteristics,197
To,197
investigated,197
provide,195
It,194
changes,193
system,193
rate,193
protein,192
due,192
will,192
years,191
change,190
fruits,189
over,188
disease,188
improve,185
considered,185
role,185
min,183
derived,182
oil,182
article,181
within,180
carrot,180
those,179
obtained,178
impact,178
vegetable,178
further,177
about,177
evaluated,177
nutritional,176
parameters,175
residues,174
chemical,173
active,172
increasing,172
concentration,170
functional,169
approach,169
field,168
crops,168
non,168
work,167
fresh,166
current,165
without,164
groups,163
up,163
European,161
models,161
reduce,161
findings,160
highest,160
out,159
should,159
loss,159
against,159
power,158
developed,157
phenolic,157
maximum,157
various,157
cell,156
management,155
treatments,153
our,152
No,151
many,151
EU,151
produce,151
sample,150
crop,150
agricultural,150
weight,150
there,149
policy,148
S,148
age,148
number,148
free,147
consumers,146
human,146
decreased,146
did,146
air,145
MRL,145
being,145
response,145
understanding,145
assessed,144
support,144
reduction,144
e,144
common,144
moisture,143
root,143
population,142
environmental,142
major,142
influence,142
applied,142
less,141
would,141
suggest,140
each,140
range,140
positive,138
framework,138
test,138
required,138
paper,138
performance,137
Regulation,136
host,135
feeding,135
differences,135
treated,134
resistance,134
processes,134
technology,133
function,133
revealed,133
conducted,132
n,131
capacity,131
physical,130
extraction,130
known,130
show,130
surface,130
oral,130
where,130
main,129
E,129
alternative,129
behavior,128
long,128
days,127
concentrations,127
key,127
fat,126
order,126
activities,126
For,126
seed,125
stress,125
knowledge,125
often,124
structure,124
ratio,124
individual,123
future,123
practices,123
tested,123
US,122
ability,122
performed,122
EC,122
similar,122
gene,121
possible,121
evaluate,121
term,121
studied,121
I,121
several,121
m,120
Our,120
determine,119
four,119
potato,119
Based,119
essential,119
mass,119
cells,119
vacuum,118
produced,118
design,117
industry,117
good,117
pressure,116
patients,116
type,116
techniques,116
overall,116
materials,116
evaluation,115
public,115
residue,114
size,114
social,114
evidence,113
vitamin,113
thermal,113
improved,113
whether,113
responses,113
types,113
especially,113
B,112
Methods,112
participants,112
strategies,112
microbial,112
help,112
shelf,111
texture,111
bioactive,111
large,111
acids,111
interactions,111
complex,110
source,110
microwave,110
efficiency,110
healthy,109
provides,109
year,109
diseases,109
because,109
systems,108
stability,108
processed,108
need,108
like,108
D,108
market,107
As,107
identify,107
determined,107
assess,106
There,106
provided,106
submitted,106
environment,106
self,106
greater,106
pathogen,106
scale,106
local,105
novel,105
demonstrated,105
negative,105
composition,105
made,104
Although,104
established,104
pH,104
starch,104
highly,104
recent,104
contents,104
packaging,103
O,103
components,103
economic,103
Therefore,102
heat,102
relationship,102
industrial,102
attributes,101
sources,100
countries,100
formation,100
them,100
who,100
combination,100
whereas,100
best,100
diversity,100
carotenoids,99
genes,99
same,99
per,99
existing,99
literature,99
experimental,98
day,98
likely,98
limited,98
mechanisms,98
States,98
carbon,98
before,98
molecular,98
aim,98
across,97
however,97
Here,97
proteins,96
if,96
case,96
Moreover,96
cross,96
combined,96
sugar,95
caused,95
still,95
following,95
individuals,95
extract,94
nutrient,94
carotene,94
apple,94
affected,94
carried,93
aimed,93
safety,93
i,93
pest,93
waste,93
bacteria,92
measured,92
b,92
affect,92
yield,91
ultrasound,91
presence,91
resulted,91
enhance,91
vitro,91
indicated,91
collected,91
body,91
material,90
presented,90
H,90
benefits,90
multiple,90
genetic,90
analyzed,89
pathogens,89
induced,89
stage,89
transfer,89
request,89
amount,88
proposed,88
family,88
promising,88
then,88
outcomes,88
flour,88
discussed,87
rich,87
technique,87
wild,87
regulatory,87
slices,87
short,87
national,86
result,86
detection,86
small,86
Conclusions,86
early,86
MRLs,86
expression,85
adults,85
report,85
containing,85
followed,85
populations,85
set,85
sodium,84
F,84
develop,84
importance,84
pesticide,84
seeds,84
enzyme,83
investigate,83
reducing,83
cases,83
temperatures,83
described,83
Article,83
added,83
cost,83
leaves,83
approaches,83
organic,82
feed,82
areas,82
substance,82
terms,82
context,82
analyses,82
