keyword,freq_2020
the,16153
and,14612
of,13900
to,7361
in,7308
a,4516
for,3544
with,2970
The,2898
is,2553
that,2488
on,2377
were,2300
was,2285
as,2198
by,2013
are,1712
from,1460
be,1308
food,1252
this,1174
an,1050
at,1038
study,1020
This,872
In,863
or,863
drying,831
can,810
which,792
their,775
have,746
not,694
has,659
used,613
also,588
using,582
high,571
C,570
plant,563
between,560
quality,543
s,542
results,540
we,536
different,532
products,526
been,520
A,514
than,513
content,512
such,505
g,499
its,489
based,484
more,483
We,480
these,477
species,471
properties,466
it,461
but,457
during,455
time,454
data,450
showed,429
health,419
control,407
effect,406
analysis,403
water,400
other,399
potential,395
both,393
higher,392
risk,388
two,383
most,383
total,382
L,382
process,378
foods,378
use,377
production,374
may,373
compared,373
effects,370
found,360
P,359
treatment,358
development,358
well,355
increased,351
all,343
review,343
methods,341
significantly,340
temperature,339
associated,336
acid,336
research,335
activity,330
samples,328
processing,328
studies,328
after,327
significant,321
could,319
including,311
present,310
plants,308
However,307
low,305
antioxidant,305
applications,305
into,304
important,302
model,297
fruit,295
conditions,294
energy,290
p,290
compounds,287
through,285
new,284
when,282
had,281
mg,280
related,280
respectively,279
children,269
product,269
three,263
growth,263
levels,263
increase,255
dietary,253
under,252
how,251
among,249
level,249
diet,248
they,247
observed,247
some,245
no,244
method,243
storage,243
juice,241
consumption,239
identified,239
addition,238
one,236
impact,235
color,234
due,233
information,232
effective,231
factors,231
nutritional,229
value,228
Practical,226
first,225
while,224
specific,222
characteristics,222
reported,222
rate,220
various,219
reduced,218
It,216
provide,215
These,215
better,213
protein,212
soil,212
application,212
changes,211
assessment,210
dried,209
parameters,207
sensory,206
vegetables,205
values,203
intake,200
EU,199
non,198
To,196
consumer,196
investigated,195
about,195
life,194
natural,193
years,193
further,192
will,190
highest,190
available,190
only,190
Results,189
B,189
kg,188
cell,186
N,186
management,184
system,184
evaluated,183
human,181
group,180
performance,179
fruits,179
work,179
cells,178
disease,178
lower,178
role,178
EFSA,177
over,177
functional,176
change,176
carrot,174
field,174
within,174
min,174
improve,173
moisture,172
oil,171
e,169
our,169
revealed,169
up,169
findings,168
current,167
free,166
obtained,166
models,166
against,166
materials,163
environmental,163
chemical,162
many,160
E,160
S,160
derived,159
differences,158
increasing,158
should,157
approach,156
surface,156
considered,156
decreased,156
concentration,156
root,155
weight,155
groups,155
out,154
main,153
potato,152
reduction,151
phenolic,151
knowledge,151
understanding,150
those,150
number,150
seed,149
there,149
structure,149
active,148
future,148
m,148
crops,148
paper,148
genes,148
support,148
loss,146
developed,146
being,145
each,144
Our,144
reduce,143
maximum,142
performed,142
European,142
industry,142
alternative,141
article,141
residues,141
fresh,140
diseases,139
type,139
technology,139
air,138
techniques,138
influence,137
participants,137
policy,137
bioactive,137
key,137
practices,136
stress,136
thermal,136
resistance,136
without,135
show,135
concentrations,135
response,135
vegetable,134
range,134
microbial,134
stability,133
required,133
No,133
strategies,132
exposure,132
molecular,132
days,132
extract,132
pressure,132
conducted,131
provides,131
sample,131
crop,130
evidence,130
consumers,130
mass,130
behavior,130
treatments,130
packaging,129
major,129
D,129
less,128
aimed,127
did,127
pH,127
known,127
extraction,127
carotenoids,126
processes,126
capacity,126
across,125
recent,125
leaves,125
produced,125
positive,125
pest,125
acids,124
possible,124
essential,124
treated,124
especially,124
industrial,124
sugar,123
long,123
age,123
function,123
MRL,123
physical,123
Regulation,122
design,122
gene,122
produce,122
microwave,122
For,122
common,121
four,121
patients,121
evaluate,121
order,121
bacteria,121
novel,121
diversity,120
determined,120
